# Navigation Errors
# DNS resolution failures, connection refused, network issues
# Format: [timestamp] | Category: network/<subcat> | Phase: <phase> | Code: <code> | URL: <url> | Message: <msg>
[2025-06-29T22:21:53.190Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://default-test.example.com | Message: net::ERR_NAME_NOT_RESOLVED at https://default-test.example.com
[2025-07-02T14:26:58.330Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://winningsofalifetime-iphone6splus.com | Message: net::ERR_NAME_NOT_RESOLVED at https://winningsofalifetime-iphone6splus.com
[2025-07-02T14:27:32.093Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://nisanhost.com | Message: net::ERR_NAME_NOT_RESOLVED at https://nisanhost.com
[2025-07-02T14:27:45.757Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://hintfilmiizle.com | Message: net::ERR_NAME_NOT_RESOLVED at https://hintfilmiizle.com
[2025-07-02T14:28:01.095Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://socialrank.com | Message: net::ERR_NAME_NOT_RESOLVED at https://socialrank.com
[2025-07-02T14:28:11.199Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://jabluk.net | Message: net::ERR_NAME_NOT_RESOLVED at https://jabluk.net
[2025-07-02T14:28:36.839Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://dienmaylenguyen.vn | Message: net::ERR_NAME_NOT_RESOLVED at https://dienmaylenguyen.vn
[2025-07-02T14:28:42.533Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://letrasdasmusicas.org | Message: net::ERR_NAME_NOT_RESOLVED at https://letrasdasmusicas.org
[2025-07-02T14:29:07.484Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://brwhn.com | Message: net::ERR_NAME_NOT_RESOLVED at https://brwhn.com
[2025-07-02T14:29:19.012Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://serialegratuite.com | Message: net::ERR_NAME_NOT_RESOLVED at https://serialegratuite.com
[2025-07-02T14:29:32.905Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://portseattle.org | Message: net::ERR_NAME_NOT_RESOLVED at https://portseattle.org
[2025-07-02T14:29:33.844Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://meteortips.com | Message: net::ERR_NAME_NOT_RESOLVED at https://meteortips.com
[2025-07-02T14:29:40.207Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://eaibeleza.com | Message: net::ERR_NAME_NOT_RESOLVED at https://eaibeleza.com
[2025-07-02T14:29:55.935Z] | Category: network/connection | Phase: data_extraction | Code: CONNECTION_REFUSED | URL: https://zenmagazineafrica.com | Message: net::ERR_CONNECTION_REFUSED at https://zenmagazineafrica.com
[2025-07-02T14:30:43.124Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://iwow365.com | Message: net::ERR_NAME_NOT_RESOLVED at https://iwow365.com
[2025-07-02T14:30:49.920Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://kyoceradocumentsolutions.com | Message: net::ERR_NAME_NOT_RESOLVED at https://kyoceradocumentsolutions.com
[2025-07-02T14:31:08.613Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://golifebuzz.com | Message: net::ERR_NAME_NOT_RESOLVED at https://golifebuzz.com
[2025-07-02T14:31:09.027Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://emagst.net | Message: net::ERR_NAME_NOT_RESOLVED at https://emagst.net
[2025-07-02T14:31:36.451Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://gemaletubexxx.com | Message: net::ERR_NAME_NOT_RESOLVED at https://gemaletubexxx.com
[2025-07-02T14:31:59.760Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://harajcars.cc | Message: net::ERR_NAME_NOT_RESOLVED at https://harajcars.cc
[2025-07-02T14:32:01.193Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://exstreamist.com | Message: net::ERR_NAME_NOT_RESOLVED at https://exstreamist.com
[2025-07-02T14:32:13.168Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://imgion.com | Message: net::ERR_NAME_NOT_RESOLVED at https://imgion.com
[2025-07-02T14:32:16.858Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://tn-actu.net | Message: net::ERR_NAME_NOT_RESOLVED at https://tn-actu.net
[2025-07-02T14:33:04.950Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://shop-asp.de | Message: net::ERR_NAME_NOT_RESOLVED at https://shop-asp.de
[2025-07-02T14:33:08.068Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://kuidle.jp | Message: net::ERR_NAME_NOT_RESOLVED at https://kuidle.jp
[2025-07-02T14:33:33.982Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://sgttt.com | Message: net::ERR_NAME_NOT_RESOLVED at https://sgttt.com
[2025-07-02T14:33:56.893Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://evasion-infidele.com | Message: net::ERR_NAME_NOT_RESOLVED at https://evasion-infidele.com
[2025-07-02T14:33:57.720Z] | Category: network/connection | Phase: data_extraction | Code: CONNECTION_REFUSED | URL: https://gazeta.kz | Message: net::ERR_CONNECTION_REFUSED at https://gazeta.kz
[2025-07-02T14:34:01.496Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://seudo.vn | Message: net::ERR_NAME_NOT_RESOLVED at https://seudo.vn
[2025-07-02T14:34:37.562Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://golestanchat.net | Message: net::ERR_NAME_NOT_RESOLVED at https://golestanchat.net
[2025-07-02T14:34:41.987Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://kglsribr.com | Message: net::ERR_NAME_NOT_RESOLVED at https://kglsribr.com
[2025-07-02T14:34:42.670Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://outside-calltechsupport.com | Message: net::ERR_NAME_NOT_RESOLVED at https://outside-calltechsupport.com
[2025-07-02T14:34:58.158Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://localsex.ch | Message: net::ERR_NAME_NOT_RESOLVED at https://localsex.ch
[2025-07-02T14:35:52.863Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://mflappy.com | Message: net::ERR_NAME_NOT_RESOLVED at https://mflappy.com
[2025-07-02T14:35:54.111Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://epochstats.com | Message: net::ERR_NAME_NOT_RESOLVED at https://epochstats.com
[2025-07-02T14:36:39.722Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://resultsfind.in | Message: net::ERR_NAME_NOT_RESOLVED at https://resultsfind.in
[2025-07-02T14:36:39.737Z] | Category: network/connection | Phase: data_extraction | Code: CONNECTION_REFUSED | URL: https://juniva.com | Message: net::ERR_CONNECTION_REFUSED at https://juniva.com
[2025-07-02T14:36:40.430Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://weplove.in | Message: net::ERR_NAME_NOT_RESOLVED at https://weplove.in
[2025-07-02T14:36:40.755Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://hamen9.com | Message: net::ERR_NAME_NOT_RESOLVED at https://hamen9.com
[2025-07-02T14:37:32.212Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://compactgame.ir | Message: net::ERR_NAME_NOT_RESOLVED at https://compactgame.ir
[2025-07-02T14:37:57.650Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://iphone6deals.xyz | Message: net::ERR_NAME_NOT_RESOLVED at https://iphone6deals.xyz
[2025-07-02T14:37:58.965Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://bbnews.pl | Message: net::ERR_NAME_NOT_RESOLVED at https://bbnews.pl
[2025-07-02T14:38:32.218Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://izito.fr | Message: net::ERR_NAME_NOT_RESOLVED at https://izito.fr
[2025-07-02T14:38:33.329Z] | Category: network/dns | Phase: data_extraction | Code: DNS_RESOLUTION_FAILED | URL: https://mapdirections.co | Message: net::ERR_NAME_NOT_RESOLVED at https://mapdirections.co
[2025-07-02T14:38:41.750Z] | Category: network/connection | Phase: data_extraction | Code: CONNECTION_REFUSED | URL: https://hardforum.ru | Message: net::ERR_CONNECTION_REFUSED at https://hardforum.ru
